City,Area_Code,Population,Unemployment_Rate,Police_Stations,Time,Victim_Age,Victim_Gender,Weapon_Used,Past_Crime_Rate,Crime_Occurred
Patna,49,117954,13.63,10,Evening,62,Female,Gun,60,1
Hyderabad,43,48725,13.22,4,Morning,31,Female,Rod,43,0
Patna,29,146327,13.46,5,Evening,22,Male,None,18,0
Bangalore,21,63380,9.27,9,Afternoon,54,Male,Gun,58,1
Bangalore,26,63333,9.59,8,Evening,37,Male,Knife,26,0
Chennai,14,52459,9.49,3,Afternoon,56,Male,Rod,61,1
Bhopal,9,126518,2.53,6,Afternoon,46,Female,Knife,45,0
Bhopal,47,46163,5.86,10,Evening,64,Female,Knife,94,1
Mumbai,12,175043,4.47,1,Night,28,Female,Rod,14,0
Hyderabad,42,94730,16.18,3,Afternoon,56,Male,Knife,6,0
Lucknow,6,29476,6.4,10,Afternoon,56,Female,Rod,71,0
Bangalore,20,78580,4.22,7,Morning,67,Female,Rod,52,0
Mumbai,24,115576,3.92,7,Afternoon,44,Female,Gun,46,0
Lucknow,27,96593,13.2,2,Afternoon,43,Female,Gun,15,0
Bhopal,38,119071,2.1,3,Afternoon,59,Male,Knife,78,1
Chennai,8,124832,9.54,7,Afternoon,68,Female,Knife,16,0
Patna,1,148579,3.9,6,Night,34,Female,Knife,18,0
Bangalore,49,153190,15.59,7,Afternoon,38,Female,Knife,34,0
Mumbai,49,191601,17.34,10,Evening,62,Male,Knife,64,1
Delhi,24,78682,17.34,9,Night,65,Female,Gun,81,1
Lucknow,47,195248,9.07,8,Afternoon,23,Female,Knife,34,0
Patna,7,101713,12.31,6,Evening,40,Female,Knife,42,0
Bangalore,19,114060,11.6,4,Evening,53,Female,None,79,1
Bhopal,22,145486,7.6,10,Night,53,Female,Rod,69,0
Hyderabad,35,93030,9.11,9,Night,50,Female,Rod,51,0
Lucknow,30,130360,3.03,7,Evening,41,Female,Gun,43,0
Bhopal,29,95973,14.73,5,Night,18,Male,Rod,53,1
Bangalore,22,145009,5.85,2,Night,17,Male,Knife,77,1
Lucknow,11,46731,9.37,9,Morning,20,Female,Rod,62,0
Patna,20,179737,9.69,7,Night,35,Female,Gun,94,1
Bangalore,29,158572,10.97,9,Morning,27,Male,Rod,93,1
Jaipur,41,124360,15.09,11,Night,53,Male,Rod,21,0
Mumbai,42,11750,13.07,9,Night,31,Male,None,10,0
Patna,34,75018,12.61,10,Evening,52,Male,None,19,0
Lucknow,1,145099,10.43,5,Morning,53,Female,Knife,71,1
Hyderabad,31,146817,3.54,7,Night,51,Female,Rod,32,0
Bhopal,30,96984,8.43,5,Afternoon,61,Female,Knife,77,1
Delhi,48,117983,17.32,3,Night,44,Female,Rod,48,1
Bhopal,18,38451,17.93,10,Evening,50,Female,Knife,22,0
Lucknow,17,103743,13.69,8,Evening,64,Male,Knife,36,0
Bhopal,38,81474,5.64,8,Evening,52,Male,Rod,87,1
Mumbai,14,22150,3.63,9,Morning,69,Male,None,73,0
Bangalore,23,23406,8.64,11,Morning,36,Male,Gun,48,0
Delhi,25,160853,15.71,6,Morning,36,Male,Knife,74,1
Kolkata,15,198489,13.55,2,Afternoon,43,Female,Gun,67,1
Lucknow,46,126047,16.14,3,Morning,21,Male,Rod,80,1
Chennai,22,133971,11.85,11,Evening,35,Male,Knife,62,1
Kolkata,3,113157,4.09,10,Morning,51,Female,Rod,51,0
Bhopal,19,28325,3.84,11,Morning,28,Female,Knife,21,0
Lucknow,44,104415,2.77,6,Night,55,Female,None,43,0
Jaipur,34,150508,11.07,1,Morning,26,Female,Knife,63,1
Chennai,35,27669,5.89,2,Night,39,Female,Knife,11,0
Delhi,1,137385,13.75,8,Morning,34,Male,Knife,67,1
Hyderabad,21,82010,12.98,11,Night,38,Female,Rod,61,1
Jaipur,29,142915,7.09,8,Evening,46,Female,None,79,0
Kolkata,6,60812,4.83,6,Morning,52,Male,Rod,38,0
Bangalore,37,26059,3.64,3,Evening,52,Male,Gun,57,1
Mumbai,1,96269,13.8,2,Morning,18,Female,None,70,1
Hyderabad,1,181840,9.21,6,Afternoon,49,Female,Knife,82,1
Jaipur,27,35395,7.18,1,Afternoon,44,Male,Knife,86,1
Bangalore,21,30202,15.71,10,Evening,18,Female,Knife,52,1
Bangalore,16,154345,11.5,6,Evening,30,Female,Gun,64,1
Lucknow,44,189961,10.29,9,Afternoon,22,Female,Gun,47,1
Jaipur,40,113235,13.89,7,Afternoon,18,Female,Knife,77,1
Delhi,26,55510,15.05,9,Night,62,Female,Knife,8,0
Bhopal,16,97945,12.98,2,Morning,58,Male,Gun,82,1
Chennai,28,80649,9.04,11,Afternoon,31,Male,Rod,79,1
Chennai,1,116723,8.07,5,Evening,60,Female,None,56,0
Kolkata,36,12881,14.35,9,Evening,49,Female,None,36,0
Kolkata,10,55913,10.29,7,Afternoon,35,Male,Gun,94,1
Chennai,43,121860,13.27,9,Evening,59,Male,Gun,55,1
Delhi,17,94785,16.25,11,Morning,68,Male,Rod,14,0
Mumbai,23,72457,16.65,6,Night,54,Female,Knife,16,0
Patna,7,176415,6.44,7,Morning,48,Male,Gun,86,1
Bhopal,44,149728,5.01,10,Night,29,Female,Rod,43,0
Mumbai,7,15741,6.18,5,Night,57,Female,Gun,84,1
Lucknow,44,157733,14.02,6,Afternoon,50,Female,Knife,72,1
Patna,15,107091,7.92,1,Evening,26,Female,Gun,14,0
Patna,34,38690,4.77,1,Night,69,Female,Knife,86,1
Jaipur,46,42833,3.57,2,Afternoon,35,Male,Rod,77,1
Delhi,45,112566,7.24,11,Evening,45,Male,None,90,1
Delhi,4,81240,4.18,4,Evening,68,Male,Rod,14,0
Patna,14,116898,4.5,11,Night,43,Male,None,27,0
Jaipur,14,87711,12.94,9,Evening,30,Female,Rod,81,1
Bhopal,16,198213,2.32,7,Morning,53,Male,None,92,0
Patna,7,49023,3.88,6,Evening,65,Male,Rod,17,0
Hyderabad,32,50209,15.51,1,Morning,28,Male,Knife,52,1
Kolkata,19,103590,15.52,5,Evening,62,Male,None,93,1
Kolkata,2,96612,7.27,11,Night,50,Male,None,48,0
Mumbai,10,90522,3.41,4,Night,62,Male,Knife,84,1
Lucknow,17,121654,13.28,5,Afternoon,39,Female,Knife,68,1
Kolkata,37,155512,7.76,11,Morning,16,Female,None,44,0
Bangalore,12,129107,2.73,9,Morning,57,Male,None,10,0
Mumbai,6,149032,4.53,3,Night,39,Female,None,76,1
Kolkata,22,32462,4.2,4,Night,42,Female,Gun,86,1
Lucknow,32,27821,11.43,8,Night,33,Female,Rod,47,0
Delhi,41,198844,16.37,3,Morning,41,Female,Knife,36,1
Delhi,20,168330,14.69,3,Afternoon,44,Female,Knife,53,1
Bhopal,1,102889,10.74,9,Morning,23,Male,Rod,78,1
Patna,47,98952,8.75,5,Night,59,Female,Knife,91,1
Hyderabad,6,163187,11.9,10,Afternoon,41,Female,Knife,23,0
Delhi,19,128066,9.1,1,Evening,20,Male,None,88,1
Jaipur,18,187505,5.94,7,Evening,48,Female,Knife,56,0
Kolkata,6,89364,12.87,7,Night,55,Female,Gun,56,1
Jaipur,45,80077,15.97,6,Afternoon,20,Male,Gun,38,1
Lucknow,33,50644,7.97,6,Night,64,Female,None,63,0
Delhi,23,72643,15.46,3,Morning,62,Male,None,85,1
Hyderabad,23,23311,8.9,3,Morning,51,Female,Knife,9,0
Lucknow,26,139466,8.42,10,Afternoon,28,Female,None,70,0
Bangalore,13,40531,2.45,11,Night,32,Male,None,45,0
Bangalore,7,24588,13.12,9,Night,28,Female,Rod,38,0
Jaipur,15,59416,14.92,1,Evening,40,Male,None,58,1
Patna,44,153452,12.62,7,Afternoon,17,Female,Gun,24,0
Mumbai,27,183717,4.42,11,Night,39,Female,Knife,58,0
Patna,26,158890,3.65,10,Morning,51,Female,None,70,0
Bhopal,33,171929,11.17,7,Night,40,Female,Rod,22,0
Patna,15,31711,8.42,8,Night,49,Male,Knife,48,0
Bhopal,36,146169,8.87,6,Morning,27,Female,Knife,52,0
Bhopal,45,126348,17.48,8,Morning,34,Female,Knife,39,1
Hyderabad,27,169465,13.58,1,Night,65,Male,Rod,83,1
Delhi,5,32076,8.59,1,Morning,57,Male,Gun,43,1
Hyderabad,2,94274,2.31,9,Evening,45,Male,Rod,7,0
Bhopal,33,67609,2.55,4,Evening,52,Female,Rod,23,0
Lucknow,16,170389,12.96,3,Evening,58,Male,Knife,91,1
Bangalore,23,68480,15.4,6,Morning,16,Male,Rod,87,1
Bhopal,38,17044,13.32,10,Morning,18,Male,Knife,22,0
Hyderabad,16,65486,8.49,9,Morning,64,Male,None,87,1
Lucknow,14,65162,2.5,10,Afternoon,41,Female,None,9,0
Hyderabad,29,39882,17.48,11,Morning,30,Female,Rod,59,1
Patna,26,64078,17.78,4,Evening,61,Female,Gun,17,1
Kolkata,35,68734,10.79,9,Evening,62,Male,Knife,38,0
Jaipur,15,118730,3.13,5,Evening,63,Male,Rod,92,1
Mumbai,3,184898,10.66,7,Afternoon,43,Male,Rod,22,0
Hyderabad,23,97985,16.28,3,Night,19,Female,Gun,72,1
Mumbai,29,54028,12.88,3,Evening,34,Male,Knife,76,1
Chennai,34,192403,13.52,3,Afternoon,39,Male,Rod,47,1
Hyderabad,33,108938,3.36,8,Night,55,Female,Gun,69,1
Kolkata,41,128319,3.7,6,Afternoon,21,Female,Knife,45,0
Mumbai,41,42543,4.04,9,Afternoon,31,Female,None,42,0
Bhopal,23,134279,16.47,9,Night,47,Female,Gun,42,1
Hyderabad,7,39362,10.41,8,Morning,45,Female,Rod,17,0
Delhi,3,168387,14.67,1,Morning,50,Male,None,26,0
Jaipur,32,168818,3.84,6,Evening,23,Male,Knife,33,0
Kolkata,31,151129,16.84,4,Night,20,Male,Gun,13,1
Mumbai,18,52915,15.14,4,Evening,52,Female,None,72,1
Kolkata,43,162133,5.6,3,Afternoon,27,Female,None,21,0
Lucknow,7,61370,15.99,9,Morning,40,Female,Rod,41,0
Jaipur,41,175229,6.22,2,Evening,48,Female,None,68,0
Bhopal,1,121375,5.29,1,Evening,54,Male,Rod,71,1
Hyderabad,14,152394,6.23,10,Morning,39,Male,Knife,8,0
Hyderabad,32,79812,16.56,3,Afternoon,26,Male,Rod,44,1
Hyderabad,6,44017,16.65,4,Evening,57,Male,Gun,20,1
Jaipur,39,66792,7.26,4,Evening,50,Male,None,15,0
Delhi,10,168814,13.29,6,Night,55,Male,Knife,30,0
Chennai,7,139198,12.81,1,Night,16,Male,Rod,76,1
Bangalore,26,27629,14.91,1,Morning,23,Male,Rod,69,1
Patna,34,138614,6.74,2,Morning,38,Female,Rod,6,0
Mumbai,30,149317,10.16,4,Afternoon,35,Male,Knife,49,1
Delhi,36,106950,12.68,7,Afternoon,47,Male,Knife,47,0
Bhopal,21,184942,2.42,6,Evening,26,Female,Gun,7,0
Mumbai,17,74829,8.03,11,Night,22,Female,Knife,38,0
Hyderabad,33,20588,13.13,9,Afternoon,45,Male,Rod,84,1
Kolkata,10,141514,6.04,7,Evening,63,Male,Knife,69,1
Bhopal,47,115280,17.32,5,Evening,54,Female,Rod,68,1
Mumbai,42,50721,2.48,6,Morning,28,Female,Gun,11,0
Hyderabad,12,178217,17.33,10,Night,57,Female,Gun,39,1
Mumbai,16,20599,5.47,9,Evening,64,Male,Rod,26,0
Kolkata,41,82594,2.78,1,Morning,18,Female,Knife,52,0
Hyderabad,32,144011,6.68,11,Evening,22,Male,Knife,36,0
Chennai,15,32149,14.58,9,Night,58,Female,None,30,0
Delhi,27,137616,14.04,6,Evening,28,Male,Gun,10,0
Lucknow,28,151280,5.34,4,Evening,52,Female,Gun,50,1
Patna,17,119034,5.15,5,Afternoon,40,Male,Rod,59,0
Jaipur,46,190564,12.28,1,Afternoon,38,Female,None,79,1
Patna,2,30951,9.33,7,Morning,66,Female,Knife,59,0
Bhopal,36,189992,14.68,8,Evening,62,Male,Rod,89,1
Patna,7,56766,2.39,11,Morning,48,Male,Knife,61,0
Hyderabad,13,67014,11.77,5,Night,20,Male,Knife,90,1
Chennai,15,169423,13.69,2,Morning,47,Female,Knife,67,1
Lucknow,25,190458,17.89,8,Evening,45,Female,None,5,0
Delhi,23,97122,12.86,10,Afternoon,46,Female,Gun,25,0
Delhi,22,19308,5.71,7,Afternoon,28,Female,Gun,24,0
Kolkata,26,69252,3.73,10,Morning,57,Female,Knife,77,0
Jaipur,33,93211,12.25,9,Afternoon,20,Male,None,33,0
Mumbai,11,169136,10.37,4,Evening,38,Male,Knife,47,1
Chennai,10,194951,16.39,11,Evening,16,Female,Knife,49,1
Mumbai,25,136534,13.63,9,Night,25,Female,Rod,69,1
Lucknow,37,18720,10.16,4,Afternoon,65,Male,None,7,0
Patna,48,136204,8.46,3,Afternoon,42,Female,None,24,0
Delhi,43,184012,8.47,11,Night,69,Male,Gun,85,1
Lucknow,38,89993,5.62,3,Morning,23,Male,Gun,41,0
Patna,41,57113,2.28,10,Night,67,Male,Knife,42,0
Delhi,45,58926,11.2,2,Afternoon,18,Male,Rod,78,1
Patna,24,179275,5.4,10,Morning,34,Male,Rod,49,0
Jaipur,40,146464,5.33,3,Evening,66,Female,Rod,46,0
Chennai,46,35905,4.01,8,Evening,17,Male,Knife,50,0
Bhopal,33,60385,5.03,11,Night,64,Female,Gun,64,1
Lucknow,17,40653,2.51,8,Evening,46,Male,None,17,0
Lucknow,24,101865,12.79,2,Afternoon,63,Female,Knife,35,1
Bangalore,37,135813,8.42,11,Night,68,Male,Rod,72,0
Hyderabad,2,155871,10.98,2,Afternoon,25,Female,Rod,66,1
Jaipur,32,25052,12.19,2,Afternoon,68,Female,Knife,53,1
Jaipur,24,147116,17.56,10,Morning,31,Male,Rod,22,0
Mumbai,9,160943,3.09,7,Morning,52,Male,None,79,0
Patna,4,161306,8.69,6,Morning,35,Male,Knife,57,0
Hyderabad,17,31381,5.93,11,Evening,18,Female,None,22,0
Chennai,17,158346,9.63,1,Morning,50,Male,Gun,55,1
Chennai,48,93108,16.73,2,Afternoon,49,Male,Rod,45,1
Jaipur,30,59892,13.58,1,Night,36,Female,Rod,71,1
Chennai,40,191593,12.59,11,Night,51,Male,Gun,69,1
Bangalore,11,101501,9.06,7,Afternoon,47,Male,Gun,87,1
Lucknow,21,93391,12.74,6,Evening,69,Female,Gun,10,0
Kolkata,21,27920,2.52,2,Night,33,Male,Rod,78,1
Bhopal,18,26702,11.38,2,Afternoon,49,Female,Gun,41,1
Mumbai,29,11894,10.86,2,Afternoon,53,Male,Knife,16,0
Patna,24,40985,7.55,8,Afternoon,18,Female,Gun,85,1
Bhopal,10,169359,5.22,7,Night,68,Female,Knife,6,0
Patna,45,135702,14.92,1,Night,18,Male,Knife,57,1
Delhi,17,83527,2.86,4,Morning,42,Female,None,29,0
Bhopal,18,156511,3.11,11,Morning,17,Male,Knife,32,0
Kolkata,42,138676,9.05,4,Afternoon,18,Female,Knife,49,0
Jaipur,48,52235,6.04,7,Afternoon,32,Female,Gun,41,0
Bangalore,20,168731,13.93,2,Afternoon,61,Male,Rod,21,0
Lucknow,37,34976,12.15,4,Afternoon,54,Male,Gun,73,1
Lucknow,45,92643,14.36,1,Night,69,Male,None,60,1
Bangalore,18,117631,7.19,11,Morning,68,Female,None,62,0
Hyderabad,17,66697,13.85,11,Evening,53,Male,Rod,87,1
Delhi,9,80382,15.8,4,Afternoon,55,Female,Knife,8,0
Patna,14,26651,7.52,11,Morning,34,Female,None,59,0
Kolkata,49,190116,7.44,1,Afternoon,34,Male,Rod,53,0
Chennai,29,24633,16.4,2,Night,59,Female,Gun,42,1
Bhopal,31,89164,2.8,2,Evening,20,Male,Gun,49,1
Delhi,4,10569,7.6,10,Morning,20,Female,Gun,34,0
Bhopal,18,77509,3.9,3,Morning,29,Male,Knife,41,0
Kolkata,20,133425,2.46,8,Evening,42,Female,Knife,60,0
Mumbai,47,111126,3.81,11,Night,64,Female,Rod,31,0
Mumbai,43,137522,8.9,6,Evening,63,Male,None,36,0
Delhi,44,43038,12.99,6,Morning,51,Female,Gun,15,0
Jaipur,9,190160,6.63,9,Evening,55,Female,Knife,62,0
Kolkata,13,48138,15.59,8,Night,50,Female,Knife,81,1
Kolkata,15,169829,9.0,2,Night,36,Female,None,39,0
Bangalore,27,197223,17.49,6,Afternoon,20,Female,Gun,21,1
Jaipur,15,120740,17.27,1,Evening,39,Male,Gun,34,1
Patna,28,121174,14.37,9,Evening,54,Male,None,22,0
Patna,37,59272,16.92,4,Morning,65,Female,Rod,34,0
Chennai,19,147980,13.31,4,Night,39,Male,Rod,94,1
Lucknow,26,151916,16.33,9,Evening,55,Male,None,20,0
Mumbai,26,61455,5.78,3,Morning,58,Female,None,79,0
Patna,25,78447,7.53,5,Afternoon,61,Male,Rod,58,0
Jaipur,26,87108,14.05,1,Evening,65,Female,None,8,0
Kolkata,26,184138,8.79,6,Evening,28,Male,Gun,19,0
Patna,46,181076,15.4,3,Morning,53,Female,Rod,80,1
Kolkata,28,48333,16.04,1,Morning,60,Female,Rod,31,0
Patna,49,131219,6.8,10,Night,16,Female,Rod,8,0
Mumbai,18,93029,15.18,6,Night,58,Female,Gun,39,1
Bhopal,32,49697,4.47,10,Night,54,Male,None,89,0
Patna,3,27634,7.35,2,Evening,25,Male,Knife,67,1
Jaipur,2,135520,10.29,8,Morning,17,Female,Knife,70,1
Patna,33,34561,5.62,11,Night,31,Male,Gun,43,0
Lucknow,42,159105,11.27,2,Evening,52,Female,Gun,32,1
Mumbai,19,65063,11.26,4,Night,31,Female,None,38,0
Jaipur,17,35921,5.31,3,Afternoon,38,Male,Knife,37,0
Bangalore,44,29340,14.73,9,Evening,41,Female,Rod,54,1
Jaipur,33,72781,12.11,2,Night,31,Female,Gun,64,1
Lucknow,12,24901,7.08,3,Night,42,Male,Knife,76,1
Bhopal,49,20638,5.71,7,Afternoon,62,Female,Rod,76,0
Mumbai,3,179668,16.06,4,Afternoon,56,Female,Rod,46,1
Bangalore,43,54324,15.37,6,Night,45,Male,None,90,1
Lucknow,49,98356,5.68,3,Night,48,Male,Gun,32,0
Lucknow,26,42642,2.57,1,Morning,47,Female,Rod,79,1
Delhi,35,35378,14.87,11,Night,24,Male,Gun,31,1
Mumbai,8,60867,11.85,6,Night,26,Male,Knife,5,0
Jaipur,36,83686,3.61,4,Morning,52,Male,Knife,12,0
Kolkata,7,52875,11.4,2,Morning,21,Male,Gun,50,1
Bhopal,46,128171,9.23,7,Night,45,Male,Rod,28,0
Kolkata,46,110061,14.39,10,Morning,55,Male,Rod,44,0
Jaipur,36,74377,5.35,5,Evening,30,Female,Knife,55,0
Jaipur,16,64691,9.25,6,Afternoon,63,Female,Rod,28,0
Mumbai,24,59063,4.5,6,Evening,45,Male,Rod,26,0
Jaipur,1,101782,17.32,9,Afternoon,33,Male,Knife,78,1
Delhi,49,88343,14.46,2,Afternoon,27,Male,None,72,1
Bangalore,25,93071,13.79,6,Night,19,Female,Knife,12,0
Jaipur,10,146564,13.04,9,Afternoon,69,Female,Gun,62,1
Kolkata,16,131399,8.77,4,Evening,31,Female,None,19,0
Jaipur,16,41357,16.77,11,Night,38,Female,Gun,12,0
Delhi,8,42314,3.17,6,Morning,26,Male,None,46,0
Patna,29,189769,14.85,7,Evening,69,Male,None,43,0
Patna,39,80283,5.44,1,Night,39,Male,Knife,39,0
Lucknow,28,69567,7.18,5,Afternoon,37,Male,Knife,45,0
Bhopal,6,57006,10.31,4,Evening,54,Male,Gun,52,1
Chennai,16,151758,14.52,10,Afternoon,30,Female,Knife,82,1
Bangalore,20,178521,15.42,2,Night,64,Male,None,75,1
Hyderabad,16,71606,11.34,2,Night,30,Female,Knife,48,1
Lucknow,7,28891,8.45,2,Morning,25,Male,Gun,39,1
Bhopal,41,193187,17.14,7,Morning,43,Male,None,31,0
Patna,14,111732,5.94,11,Evening,51,Female,Gun,69,1
Kolkata,43,177795,14.85,11,Morning,69,Female,Rod,74,1
Hyderabad,26,39877,11.79,4,Afternoon,32,Male,Knife,70,1
Bhopal,26,24026,8.03,6,Afternoon,51,Female,None,75,0
Bhopal,14,30422,2.02,7,Morning,37,Female,Gun,76,1
Lucknow,7,150316,9.15,9,Morning,38,Female,Knife,67,0
Hyderabad,33,43481,6.43,11,Morning,44,Male,Knife,84,1
Mumbai,26,99180,3.67,2,Evening,37,Male,Gun,33,0
Chennai,45,119384,3.2,10,Evening,26,Male,None,35,0
Mumbai,20,68031,7.56,9,Afternoon,51,Female,Gun,68,1
Hyderabad,3,149593,11.84,11,Evening,59,Female,Knife,90,1
Mumbai,4,142818,15.4,5,Evening,44,Male,Gun,57,1
Delhi,26,93127,4.94,6,Night,57,Male,Rod,78,1
Patna,11,102254,8.79,6,Afternoon,47,Female,Knife,72,1
Delhi,2,78232,8.27,11,Afternoon,29,Male,None,29,0
Jaipur,14,153084,10.21,3,Morning,33,Male,Rod,17,0
Mumbai,44,90224,14.95,11,Night,53,Female,Gun,85,1
Jaipur,30,164529,10.86,11,Morning,52,Female,None,44,0
Kolkata,49,39960,15.55,10,Evening,49,Male,Rod,76,1
Bangalore,12,97695,10.3,7,Afternoon,60,Female,Gun,91,1
Kolkata,26,140066,11.66,7,Evening,38,Female,Rod,11,0
Hyderabad,44,148982,9.0,8,Evening,47,Male,Knife,36,0
Bhopal,33,12693,15.17,5,Night,61,Female,None,28,0
Patna,13,125313,16.78,2,Night,18,Female,Rod,5,0
Mumbai,14,156930,12.23,3,Afternoon,58,Male,Knife,51,1
Lucknow,24,38810,15.13,9,Afternoon,37,Female,Gun,55,1
Bangalore,34,30092,2.94,6,Night,38,Female,Knife,40,0
Chennai,44,189772,16.5,8,Night,19,Male,Gun,31,1
Chennai,26,68105,5.02,8,Night,28,Female,None,74,0
Chennai,21,171577,6.1,5,Night,47,Male,Knife,46,0
Mumbai,28,38555,2.85,1,Afternoon,44,Male,Knife,80,1
Chennai,48,81934,17.45,6,Afternoon,55,Female,Gun,94,1
Delhi,36,82788,15.63,7,Evening,55,Male,Rod,93,1
Bangalore,40,87257,16.61,9,Evening,60,Male,Gun,72,1
Delhi,2,27939,15.56,2,Evening,25,Female,Rod,74,1
Bhopal,42,152897,9.67,2,Afternoon,28,Male,Gun,17,0
Bangalore,9,165223,16.79,10,Morning,60,Male,None,29,0
Delhi,23,138068,17.51,1,Evening,32,Female,Rod,26,1
Bangalore,15,10036,10.04,5,Morning,53,Male,Knife,25,0
Bhopal,13,103948,4.81,2,Morning,17,Male,Rod,19,0
Jaipur,23,93707,12.54,3,Morning,32,Female,Gun,71,1
Mumbai,17,49051,17.61,2,Night,59,Female,Gun,41,1
Mumbai,48,90738,15.95,11,Afternoon,41,Male,Rod,49,0
Chennai,2,83596,15.79,4,Afternoon,53,Male,Knife,30,1
Kolkata,20,70071,16.94,11,Evening,52,Male,None,85,1
Chennai,20,140613,16.3,3,Evening,20,Female,Knife,59,1
Hyderabad,46,83601,14.42,9,Afternoon,40,Male,Rod,54,0
Delhi,3,39873,13.49,10,Night,24,Female,Gun,39,1
Bangalore,12,177720,6.24,2,Afternoon,43,Male,Knife,45,0
Kolkata,40,81468,11.94,7,Morning,37,Male,Gun,76,1
Bhopal,2,36470,10.34,11,Afternoon,44,Female,Gun,15,0
Hyderabad,36,18328,15.79,3,Night,50,Male,Knife,92,1
Bhopal,14,147405,9.87,10,Afternoon,35,Female,Rod,12,0
Mumbai,16,131173,4.04,8,Afternoon,20,Female,Knife,58,0
Mumbai,19,56638,2.08,4,Afternoon,54,Male,None,5,0
Chennai,34,21268,12.85,4,Morning,59,Male,Gun,24,0
Delhi,44,123920,10.8,9,Evening,47,Female,Gun,38,0
Kolkata,46,120379,7.3,11,Night,54,Female,Rod,61,0
Patna,6,158117,4.7,3,Morning,25,Female,Gun,17,0
Hyderabad,13,181813,9.47,7,Afternoon,55,Male,Gun,58,1
Hyderabad,36,183842,3.6,1,Afternoon,32,Male,Gun,57,1
Chennai,22,17887,7.38,7,Evening,52,Male,Knife,56,0
Mumbai,18,34918,8.07,10,Evening,30,Male,Gun,10,0
Chennai,12,45497,9.45,11,Evening,24,Female,Knife,40,0
Bangalore,30,103562,9.47,2,Morning,47,Female,Rod,29,0
Kolkata,40,21929,6.11,6,Night,38,Female,None,62,0
Delhi,7,112201,15.6,9,Evening,26,Male,Gun,59,1
Jaipur,32,126566,7.69,6,Afternoon,28,Male,None,7,0
Lucknow,48,38546,5.67,3,Night,33,Male,Knife,32,0
Lucknow,19,178410,4.81,1,Afternoon,64,Female,Rod,72,1
Chennai,6,175355,7.16,4,Afternoon,24,Female,Rod,85,1
Bangalore,20,92494,3.08,4,Night,57,Female,Knife,42,0
Kolkata,27,56566,2.53,8,Morning,20,Female,None,38,0
Patna,43,95464,11.68,10,Night,58,Male,Gun,88,1
Lucknow,37,138279,11.91,10,Evening,37,Male,Knife,17,0
Kolkata,48,91991,10.47,7,Night,47,Male,Knife,9,0
Delhi,7,102680,14.2,10,Evening,62,Female,Knife,64,1
Bhopal,5,38013,2.63,7,Evening,17,Female,Knife,92,1
Bangalore,11,62132,16.98,7,Night,36,Female,Knife,21,0
Mumbai,15,169156,3.52,2,Night,43,Female,Rod,61,0
Kolkata,3,117855,12.78,9,Evening,67,Male,Knife,35,0
Delhi,5,162215,4.13,6,Afternoon,39,Male,Rod,69,0
Patna,23,101627,16.08,2,Night,39,Female,None,70,1
Jaipur,37,132772,10.17,1,Morning,29,Male,Gun,37,1
Mumbai,9,155251,3.32,11,Evening,52,Female,Rod,8,0
Jaipur,15,199798,11.87,1,Afternoon,42,Female,Gun,86,1
Patna,3,151294,2.15,1,Night,39,Female,Gun,59,1
Delhi,29,74068,14.42,4,Night,21,Female,Gun,28,1
Lucknow,6,165021,12.41,4,Afternoon,41,Female,Rod,36,0
Jaipur,17,26116,5.4,9,Morning,69,Male,Rod,77,0
Mumbai,26,192124,8.0,1,Evening,30,Male,Rod,51,0
Chennai,21,61369,2.12,3,Night,44,Male,None,20,0
Hyderabad,8,189889,13.1,3,Morning,51,Male,Rod,25,0
Kolkata,21,113100,7.16,8,Evening,25,Male,None,71,0
Lucknow,11,39655,11.15,2,Morning,43,Male,Rod,35,0
Jaipur,38,198874,17.31,6,Evening,66,Female,Rod,18,0
Bhopal,8,57632,6.79,11,Evening,24,Female,Gun,10,0
Kolkata,42,155265,17.84,4,Morning,36,Male,Knife,73,1
Chennai,24,171848,12.12,10,Evening,25,Female,Gun,33,0
Patna,35,184297,5.87,6,Night,19,Female,Rod,59,0
Hyderabad,14,189884,8.99,5,Night,69,Female,Knife,41,0
Delhi,14,28895,13.85,9,Morning,19,Male,Knife,63,1
Chennai,10,162281,9.14,9,Morning,21,Male,None,40,0
Chennai,12,33086,3.1,1,Evening,41,Male,Knife,89,1
Patna,38,95637,4.7,3,Evening,55,Female,None,80,1
Bangalore,44,168279,14.66,1,Morning,31,Male,Gun,63,1
Patna,46,117334,12.37,6,Afternoon,23,Male,None,91,1
Bangalore,34,161969,11.12,3,Morning,43,Male,Rod,82,1
Bangalore,41,73083,4.68,1,Afternoon,31,Female,Knife,68,1
Lucknow,10,105028,15.4,6,Afternoon,53,Male,Rod,47,1
Lucknow,17,76957,17.37,5,Morning,64,Male,Knife,46,1
Mumbai,17,107551,2.65,8,Morning,16,Male,Knife,78,0
Jaipur,3,88506,3.25,2,Morning,34,Female,Gun,64,1
Jaipur,31,148355,16.16,8,Afternoon,65,Male,None,66,1
Delhi,1,104024,15.05,5,Night,32,Male,Gun,68,1
Jaipur,12,91481,11.89,8,Night,64,Female,None,62,0
Lucknow,39,10255,17.12,10,Morning,43,Male,Gun,6,0
Mumbai,4,25487,12.34,4,Morning,59,Male,Gun,82,1
Mumbai,42,29346,5.46,4,Evening,27,Male,Knife,75,1
Bangalore,13,45050,13.66,10,Evening,21,Male,Gun,85,1
