City,Age,Monthly_Income,Education_Level,Employment_Type,Digital_Usage_Hours,Household_Size,Area_Type,Govt_Scheme_Usage,Citizen_Segment
Jaipur,47,110576,Graduate,Unemployed,3.64,1,Urban,4,0
Jaipur,69,91593,Primary,Private,5.35,7,Semi-Urban,0,0
Hyderabad,66,114071,Secondary,Unemployed,1.74,7,Urban,1,0
Hyderabad,30,119832,Secondary,Private,4.8,1,Rural,4,0
Chennai,18,143579,Primary,Self-Employed,1.36,2,Rural,3,0
Kolkata,51,148190,Graduate,Self-Employed,0.97,6,Semi-Urban,4,0
Chennai,32,73682,Secondary,Self-Employed,8.64,5,Rural,2,1
Lucknow,61,96713,Graduate,Self-Employed,2.45,6,Urban,2,0
Mumbai,31,109060,Graduate,Unemployed,5.96,2,Urban,3,1
Lucknow,46,140486,Graduate,Private,1.92,4,Rural,3,0
Ahmedabad,51,88030,Primary,Government,2.99,4,Semi-Urban,3,0
Lucknow,35,125360,Graduate,Self-Employed,3.93,5,Semi-Urban,2,1
Delhi,24,90973,Graduate,Self-Employed,1.86,7,Rural,4,0
Lucknow,46,140009,Postgraduate,Private,0.94,5,Urban,0,1
Chennai,48,41731,Postgraduate,Government,8.83,5,Rural,0,1
Bangalore,42,119360,Postgraduate,Self-Employed,0.61,1,Rural,1,0
Bangalore,55,6750,Secondary,Government,1.08,1,Semi-Urban,2,0
Hyderabad,31,70018,Secondary,Self-Employed,8.15,4,Urban,3,1
Mumbai,25,140099,Postgraduate,Unemployed,3.18,5,Semi-Urban,4,0
Mumbai,44,141817,Primary,Unemployed,7.37,3,Semi-Urban,2,0
Delhi,19,91984,Primary,Government,1.89,6,Urban,1,0
Chennai,34,112983,Postgraduate,Private,2.75,4,Urban,0,1
Hyderabad,54,33451,Secondary,Private,5.94,5,Urban,4,0
Ahmedabad,31,98743,Secondary,Unemployed,9.89,3,Rural,0,1
Mumbai,42,76474,Primary,Private,1.2,5,Urban,4,0
Bangalore,47,17150,Graduate,Private,4.31,7,Rural,3,0
Lucknow,46,18406,Primary,Private,0.91,2,Semi-Urban,4,0
Lucknow,37,121047,Graduate,Government,2.39,3,Urban,3,1
Hyderabad,38,128971,Secondary,Government,9.12,7,Rural,2,1
Chennai,39,108157,Secondary,Private,1.42,6,Rural,0,0
Chennai,52,23325,Postgraduate,Unemployed,8.64,2,Rural,4,0
Kolkata,54,99415,Secondary,Private,2.19,7,Rural,4,0
Pune,33,145508,Graduate,Self-Employed,8.69,1,Semi-Urban,1,1
Mumbai,67,22669,Primary,Unemployed,5.61,4,Urban,0,0
Chennai,66,132385,Postgraduate,Government,8.84,5,Urban,2,1
Bangalore,60,77010,Graduate,Self-Employed,1.94,4,Urban,3,0
Hyderabad,34,137915,Primary,Private,7.74,6,Urban,2,1
Ahmedabad,33,55812,Primary,Private,6.97,5,Urban,1,0
Kolkata,19,21059,Primary,Unemployed,5.66,2,Urban,2,0
Jaipur,21,91269,Secondary,Unemployed,8.2,3,Rural,3,0
Delhi,38,30395,Primary,Private,6.66,3,Urban,0,0
Ahmedabad,56,25202,Secondary,Private,8.83,5,Rural,1,1
Jaipur,51,149345,Primary,Unemployed,4.12,2,Semi-Urban,4,0
Lucknow,47,108235,Primary,Self-Employed,6.1,5,Rural,4,0
Delhi,23,50510,Secondary,Government,8.77,5,Semi-Urban,0,1
Mumbai,34,92945,Secondary,Unemployed,2.54,7,Urban,2,0
Bangalore,56,75649,Graduate,Self-Employed,5.11,5,Semi-Urban,4,0
Delhi,42,111723,Primary,Private,9.63,3,Semi-Urban,1,1
Pune,22,7881,Secondary,Government,5.0,6,Rural,3,0
Jaipur,22,50913,Graduate,Self-Employed,2.9,5,Rural,2,0
Mumbai,37,116860,Graduate,Government,3.84,3,Semi-Urban,3,1
Pune,33,89785,Secondary,Government,8.91,1,Semi-Urban,2,1
Lucknow,68,67457,Primary,Government,9.57,2,Urban,1,1
Pune,58,144728,Graduate,Self-Employed,9.53,1,Rural,3,1
Kolkata,54,10741,Primary,Self-Employed,7.14,5,Semi-Urban,1,0
Kolkata,57,102091,Primary,Private,5.34,3,Rural,3,0
Hyderabad,26,33690,Graduate,Government,2.24,2,Urban,2,0
Ahmedabad,22,37833,Secondary,Unemployed,1.67,4,Urban,1,0
Ahmedabad,59,107566,Primary,Unemployed,1.07,2,Semi-Urban,2,0
Mumbai,19,76240,Postgraduate,Unemployed,0.67,2,Urban,2,0
Lucknow,26,111898,Secondary,Self-Employed,8.84,5,Semi-Urban,3,1
Chennai,60,82711,Graduate,Private,8.19,7,Rural,3,1
Kolkata,53,44023,Postgraduate,Self-Employed,5.89,1,Rural,1,1
Mumbai,39,45209,Primary,Government,9.99,1,Semi-Urban,4,1
Chennai,39,98590,Secondary,Unemployed,9.55,4,Semi-Urban,0,1
Ahmedabad,39,91612,Postgraduate,Self-Employed,6.72,5,Semi-Urban,3,1
Hyderabad,51,85522,Secondary,Unemployed,4.91,2,Rural,2,0
Pune,46,116654,Primary,Self-Employed,1.95,7,Rural,0,0
Kolkata,55,124107,Secondary,Unemployed,5.4,6,Urban,1,0
Mumbai,63,144032,Postgraduate,Government,2.0,1,Urban,0,1
Delhi,50,27462,Secondary,Unemployed,4.29,1,Rural,0,0
Chennai,35,22821,Graduate,Government,9.46,3,Rural,4,1
Pune,24,97889,Graduate,Government,3.75,2,Semi-Urban,4,1
Kolkata,18,93952,Postgraduate,Self-Employed,1.95,5,Rural,0,1
Ahmedabad,50,123066,Secondary,Self-Employed,6.03,1,Rural,4,0
Lucknow,18,84364,Postgraduate,Self-Employed,6.22,7,Urban,4,1
Chennai,41,75077,Secondary,Government,2.34,5,Urban,0,0
Ahmedabad,21,45644,Primary,Private,2.37,2,Semi-Urban,3,0
Kolkata,21,67643,Graduate,Private,9.9,2,Urban,4,1
Chennai,35,18311,Primary,Government,2.81,1,Semi-Urban,0,0
Pune,44,134466,Secondary,Government,8.46,4,Rural,3,1
Kolkata,60,35531,Primary,Self-Employed,4.97,5,Rural,4,0
Jaipur,49,19588,Postgraduate,Self-Employed,4.63,5,Semi-Urban,0,1
Mumbai,50,54416,Postgraduate,Self-Employed,3.3,3,Urban,4,0
Pune,45,148452,Secondary,Private,7.85,7,Urban,3,1
Chennai,59,26711,Graduate,Private,8.87,2,Rural,0,1
Lucknow,58,141169,Postgraduate,Government,2.98,2,Urban,3,1
Ahmedabad,53,121348,Graduate,Private,1.4,1,Semi-Urban,2,0
Delhi,23,27076,Secondary,Self-Employed,1.8,1,Rural,1,0
Ahmedabad,33,89274,Graduate,Self-Employed,8.03,1,Urban,2,1
Chennai,51,62609,Secondary,Self-Employed,4.64,3,Rural,4,0
Ahmedabad,40,63480,Primary,Self-Employed,1.75,7,Rural,3,0
Mumbai,67,12044,Secondary,Self-Employed,3.73,4,Urban,0,0
Kolkata,59,60486,Primary,Unemployed,5.39,1,Semi-Urban,3,0
Delhi,41,60162,Secondary,Government,8.59,1,Urban,4,1
Bangalore,66,34882,Postgraduate,Government,6.6,6,Urban,0,1
Chennai,30,59078,Postgraduate,Private,2.17,7,Urban,2,1
Hyderabad,35,63734,Graduate,Self-Employed,2.01,1,Urban,3,0
Bangalore,30,113730,Secondary,Unemployed,4.42,3,Urban,1,0
Ahmedabad,66,92985,Secondary,Self-Employed,1.21,5,Urban,4,0
Chennai,54,49028,Secondary,Self-Employed,7.68,4,Semi-Urban,4,0
Jaipur,60,103938,Graduate,Private,4.31,5,Rural,3,0
Hyderabad,56,123319,Postgraduate,Unemployed,3.76,6,Semi-Urban,2,0
Delhi,59,37543,Secondary,Unemployed,5.34,2,Urban,2,0
Lucknow,34,129279,Graduate,Government,7.24,2,Semi-Urban,1,1
Jaipur,32,34362,Secondary,Self-Employed,5.91,1,Rural,1,0
Bangalore,35,146129,Primary,Unemployed,8.12,6,Semi-Urban,3,0
Kolkata,40,47915,Secondary,Government,6.48,5,Urban,0,1
Mumbai,68,56370,Primary,Unemployed,7.99,3,Rural,2,0
Lucknow,47,116375,Graduate,Self-Employed,7.12,4,Urban,0,1
Jaipur,51,147394,Graduate,Government,2.33,7,Urban,0,1
Kolkata,21,74812,Postgraduate,Unemployed,1.0,5,Rural,3,0
Kolkata,20,39017,Secondary,Private,9.08,6,Rural,1,1
Chennai,24,61792,Graduate,Unemployed,9.48,6,Urban,0,1
Jaipur,35,134198,Postgraduate,Self-Employed,7.41,7,Semi-Urban,3,1
Delhi,59,22629,Secondary,Private,7.38,5,Rural,1,0
Ahmedabad,24,133614,Graduate,Unemployed,3.07,4,Semi-Urban,0,0
Hyderabad,57,144317,Primary,Unemployed,5.65,5,Semi-Urban,0,0
Hyderabad,23,101950,Graduate,Government,9.93,5,Rural,1,1
Bangalore,39,69829,Primary,Self-Employed,8.63,4,Semi-Urban,1,1
Bangalore,18,15588,Postgraduate,Unemployed,3.39,3,Rural,4,0
Hyderabad,21,136514,Postgraduate,Unemployed,3.36,7,Rural,4,0
Delhi,63,110280,Secondary,Unemployed,5.09,6,Rural,3,0
Mumbai,66,45721,Secondary,Self-Employed,4.34,4,Rural,3,0
Pune,69,15599,Secondary,Private,4.03,1,Semi-Urban,2,0
Ahmedabad,67,77594,Postgraduate,Self-Employed,6.46,1,Semi-Urban,4,1
Mumbai,60,139011,Primary,Government,0.61,1,Rural,1,0
Chennai,46,27149,Secondary,Government,7.75,1,Rural,4,0
Pune,38,132616,Secondary,Self-Employed,7.53,7,Rural,3,1
Pune,43,146280,Postgraduate,Unemployed,8.39,2,Rural,3,1
Jaipur,31,114034,Primary,Unemployed,8.49,3,Urban,3,0
Delhi,26,25951,Graduate,Private,5.88,2,Semi-Urban,1,1
Delhi,64,51766,Secondary,Self-Employed,7.91,5,Semi-Urban,0,1
Pune,29,62014,Graduate,Self-Employed,5.18,5,Rural,3,0
Jaipur,59,92122,Graduate,Unemployed,9.54,4,Urban,4,1
Ahmedabad,68,14308,Secondary,Government,2.31,1,Urban,0,0
Pune,68,64252,Postgraduate,Government,9.2,4,Urban,4,1
Lucknow,23,88211,Secondary,Private,2.96,5,Rural,3,0
Bangalore,37,131534,Primary,Private,1.48,1,Urban,1,0
Bangalore,41,13720,Primary,Government,4.67,7,Rural,0,0
Mumbai,44,131204,Secondary,Self-Employed,6.34,6,Urban,0,1
Chennai,55,84993,Graduate,Private,2.69,3,Rural,3,0
Bangalore,25,52113,Primary,Unemployed,5.78,5,Rural,3,0
Kolkata,18,53926,Primary,Self-Employed,8.17,6,Semi-Urban,3,0
Mumbai,66,141464,Secondary,Unemployed,2.94,4,Rural,2,0
Bangalore,66,30905,Secondary,Private,6.01,6,Urban,1,0
Chennai,41,55385,Postgraduate,Government,3.72,4,Semi-Urban,1,1
Delhi,64,35653,Secondary,Private,5.53,5,Urban,3,0
Delhi,24,96865,Secondary,Government,6.84,2,Rural,2,1
Ahmedabad,36,130813,Primary,Self-Employed,3.83,7,Semi-Urban,3,0
Pune,39,20052,Primary,Private,9.95,7,Rural,3,0
Lucknow,52,142116,Primary,Private,5.86,3,Rural,1,0
Delhi,47,26381,Graduate,Private,8.33,7,Urban,2,1
Jaipur,46,88108,Primary,Self-Employed,7.39,6,Urban,1,1
Bangalore,39,54892,Primary,Unemployed,8.6,7,Urban,3,0
Jaipur,28,96501,Secondary,Unemployed,2.15,6,Semi-Urban,4,0
Chennai,37,88391,Postgraduate,Government,2.61,5,Urban,0,1
Delhi,46,22920,Primary,Private,5.13,7,Rural,3,0
Lucknow,68,21702,Postgraduate,Unemployed,8.6,5,Semi-Urban,2,1
Chennai,58,6894,Primary,Self-Employed,2.38,7,Urban,4,0
Kolkata,59,35985,Primary,Private,9.73,4,Urban,2,1
Kolkata,51,130702,Postgraduate,Government,1.71,1,Urban,3,1
Jaipur,18,78527,Secondary,Unemployed,2.16,1,Rural,3,0
Pune,48,133676,Primary,Self-Employed,2.09,1,Urban,0,0
Mumbai,47,47235,Postgraduate,Self-Employed,6.07,4,Rural,2,1
Pune,65,29976,Primary,Government,9.22,1,Semi-Urban,4,0
Ahmedabad,35,87643,Graduate,Unemployed,2.92,5,Urban,0,0
Pune,34,112631,Graduate,Private,5.75,2,Rural,2,1
Ahmedabad,55,61697,Graduate,Self-Employed,2.17,2,Urban,3,0
Ahmedabad,31,75382,Graduate,Government,6.5,7,Urban,0,1
Lucknow,40,21651,Secondary,Self-Employed,1.67,2,Semi-Urban,3,0
Delhi,42,19633,Graduate,Self-Employed,5.17,1,Semi-Urban,1,0
Lucknow,32,84164,Postgraduate,Unemployed,6.72,2,Rural,1,1
Ahmedabad,63,5569,Primary,Unemployed,6.0,6,Rural,0,0
Chennai,39,72509,Postgraduate,Private,1.83,1,Rural,0,0
Kolkata,20,128425,Graduate,Self-Employed,2.03,6,Semi-Urban,2,0
Ahmedabad,36,106126,Secondary,Government,6.88,5,Rural,4,1
Lucknow,61,132522,Graduate,Self-Employed,8.18,6,Semi-Urban,4,1
Chennai,51,38038,Graduate,Government,9.13,5,Semi-Urban,1,1
Lucknow,52,43138,Secondary,Self-Employed,8.23,4,Urban,1,1
Pune,67,115740,Secondary,Government,9.75,4,Urban,1,1
Bangalore,18,116174,Secondary,Self-Employed,4.38,7,Rural,3,0
Jaipur,69,54272,Secondary,Self-Employed,3.65,6,Semi-Urban,4,0
Mumbai,38,142980,Secondary,Private,0.77,3,Semi-Urban,0,0
Lucknow,46,146916,Secondary,Unemployed,4.77,5,Semi-Urban,1,0
Mumbai,23,56455,Primary,Unemployed,6.69,1,Urban,2,0
Hyderabad,54,73447,Graduate,Government,8.25,3,Semi-Urban,0,1
Lucknow,18,82108,Graduate,Self-Employed,3.04,5,Rural,0,0
Bangalore,68,43333,Secondary,Self-Employed,5.38,1,Rural,0,0
Mumbai,18,126219,Postgraduate,Unemployed,6.79,5,Urban,4,1
Ahmedabad,44,88029,Secondary,Government,5.74,5,Rural,1,1
Lucknow,38,44697,Primary,Private,3.1,1,Semi-Urban,2,0
Delhi,33,22634,Postgraduate,Private,8.06,5,Semi-Urban,3,1
Jaipur,61,130520,Primary,Private,2.15,5,Rural,2,0
Bangalore,57,29561,Postgraduate,Self-Employed,9.1,5,Urban,2,1
Mumbai,43,60063,Postgraduate,Government,9.55,7,Semi-Urban,2,1
Bangalore,33,30921,Secondary,Unemployed,3.97,4,Semi-Urban,3,0
Chennai,45,24340,Primary,Self-Employed,4.07,2,Urban,2,0
Jaipur,18,67781,Postgraduate,Self-Employed,7.56,5,Semi-Urban,2,1
Ahmedabad,53,19901,Primary,Private,4.83,7,Rural,1,0
Lucknow,27,15638,Secondary,Government,0.77,1,Rural,1,0
Lucknow,60,49324,Secondary,Government,9.24,6,Urban,1,1
Lucknow,34,93356,Secondary,Private,4.59,5,Urban,0,1
Jaipur,40,37642,Secondary,Private,2.43,7,Rural,2,0
Delhi,24,30378,Graduate,Private,5.78,4,Urban,4,0
Hyderabad,61,55867,Postgraduate,Self-Employed,2.58,7,Rural,4,0
Kolkata,24,78686,Graduate,Self-Employed,2.46,4,Urban,4,0
Pune,61,47875,Secondary,Self-Employed,5.68,6,Rural,3,0
Mumbai,32,123171,Postgraduate,Unemployed,4.21,5,Semi-Urban,1,1
Delhi,51,105061,Postgraduate,Unemployed,5.94,3,Semi-Urban,1,1
Ahmedabad,63,69377,Primary,Government,9.97,6,Rural,1,1
Mumbai,62,59691,Secondary,Private,8.66,2,Semi-Urban,3,1
Lucknow,21,54063,Graduate,Private,0.57,1,Rural,2,0
Bangalore,31,96782,Primary,Self-Employed,0.98,7,Urban,0,0
Ahmedabad,31,83343,Postgraduate,Unemployed,6.3,1,Semi-Urban,1,1
Mumbai,33,88071,Graduate,Private,6.45,1,Semi-Urban,2,1
Lucknow,24,141564,Secondary,Government,8.84,1,Semi-Urban,4,1
Mumbai,49,126399,Graduate,Private,6.48,4,Rural,0,1
Bangalore,36,36357,Graduate,Self-Employed,2.66,7,Semi-Urban,4,0
Lucknow,19,37314,Graduate,Self-Employed,4.95,2,Urban,2,1
Hyderabad,27,75283,Primary,Unemployed,8.19,5,Semi-Urban,2,0
Delhi,67,64567,Postgraduate,Government,9.27,5,Urban,4,1
Chennai,34,52006,Graduate,Government,2.75,3,Semi-Urban,0,1
Pune,54,146758,Postgraduate,Private,5.63,5,Semi-Urban,4,1
Jaipur,29,66606,Primary,Government,2.01,2,Urban,4,0
Pune,23,23891,Secondary,Private,5.22,5,Semi-Urban,4,0
Ahmedabad,39,106732,Secondary,Private,1.36,4,Urban,0,0
Pune,49,34877,Graduate,Unemployed,9.45,6,Urban,3,1
Lucknow,58,19026,Primary,Government,6.56,5,Urban,0,1
Hyderabad,37,25422,Secondary,Self-Employed,8.62,1,Semi-Urban,4,0
Chennai,18,145316,Primary,Private,9.98,1,Semi-Urban,1,1
Delhi,64,38481,Primary,Private,2.24,6,Urban,1,0
Delhi,23,94180,Graduate,Private,7.09,1,Semi-Urban,2,1
Bangalore,36,114384,Graduate,Government,8.93,1,Rural,3,1
Jaipur,35,63031,Primary,Government,5.97,4,Urban,2,0
Mumbai,23,144593,Primary,Government,6.58,4,Urban,2,1
Hyderabad,62,137818,Graduate,Private,4.37,4,Rural,1,1
Mumbai,50,88127,Primary,Self-Employed,6.91,5,Rural,0,0
Chennai,40,97254,Graduate,Self-Employed,4.26,6,Urban,2,1
Pune,40,73232,Postgraduate,Government,5.03,1,Rural,2,1
Delhi,43,148084,Primary,Self-Employed,1.48,3,Urban,3,0
Chennai,30,85224,Graduate,Private,0.57,6,Semi-Urban,1,0
Pune,24,34960,Primary,Government,1.02,3,Rural,0,0
Delhi,32,92695,Graduate,Government,2.33,1,Urban,3,1
Pune,61,135066,Primary,Private,4.84,2,Urban,0,1
Jaipur,44,143982,Secondary,Government,0.7,6,Urban,0,1
Hyderabad,43,7693,Secondary,Private,1.98,5,Rural,2,0
Ahmedabad,50,120313,Primary,Government,7.92,3,Semi-Urban,3,1
Chennai,32,33810,Secondary,Self-Employed,7.74,6,Semi-Urban,2,0
Chennai,53,25092,Primary,Government,8.0,6,Rural,4,0
Kolkata,62,63105,Primary,Government,9.25,4,Urban,0,1
Lucknow,44,33555,Postgraduate,Government,1.63,2,Urban,3,0
Jaipur,22,76934,Postgraduate,Unemployed,2.05,4,Urban,1,0
Jaipur,19,77788,Secondary,Self-Employed,3.67,2,Rural,2,0
Mumbai,50,82257,Postgraduate,Private,9.19,2,Rural,4,1
Pune,33,22939,Postgraduate,Unemployed,7.87,5,Urban,4,1
Lucknow,40,147897,Primary,Self-Employed,3.58,6,Urban,4,0
Hyderabad,55,133068,Graduate,Government,1.33,4,Urban,2,1
Hyderabad,33,5036,Primary,Government,6.36,4,Rural,1,0
Jaipur,31,98948,Postgraduate,Private,2.94,3,Rural,3,0
Hyderabad,46,88707,Primary,Private,5.55,6,Semi-Urban,0,0
Kolkata,43,44051,Secondary,Self-Employed,9.45,1,Urban,1,1
Chennai,52,85738,Graduate,Self-Employed,5.94,1,Urban,2,1
Bangalore,32,78596,Postgraduate,Private,9.28,3,Semi-Urban,3,1
Ahmedabad,20,65071,Postgraduate,Self-Employed,4.23,2,Urban,0,1
Mumbai,40,135613,Primary,Private,6.52,3,Semi-Urban,3,0
Pune,46,78601,Primary,Government,8.99,3,Rural,0,1
Ahmedabad,51,34873,Primary,Private,6.09,4,Semi-Urban,0,0
Pune,50,76468,Primary,Unemployed,6.34,3,Semi-Urban,4,0
Delhi,58,31470,Postgraduate,Private,7.3,7,Rural,2,1
Ahmedabad,58,13328,Primary,Private,8.88,2,Urban,1,0
Bangalore,40,142405,Postgraduate,Unemployed,1.34,1,Semi-Urban,4,0
Jaipur,24,126173,Primary,Unemployed,3.7,5,Semi-Urban,4,0
Kolkata,20,51638,Graduate,Unemployed,4.28,6,Urban,3,0
Chennai,49,16268,Graduate,Unemployed,9.14,3,Semi-Urban,0,1
Chennai,48,118920,Primary,Private,9.58,6,Rural,0,1
Kolkata,35,115379,Primary,Self-Employed,1.64,3,Semi-Urban,3,0
Lucknow,60,12887,Secondary,Unemployed,1.63,7,Urban,2,0
Delhi,24,29918,Graduate,Government,9.38,6,Urban,0,1
Pune,58,40497,Postgraduate,Private,3.31,4,Semi-Urban,4,0
Bangalore,18,98562,Graduate,Self-Employed,2.8,4,Urban,4,0
Hyderabad,31,16929,Postgraduate,Government,0.84,6,Urban,0,0
Ahmedabad,69,107201,Primary,Private,3.12,3,Semi-Urban,0,0
Delhi,49,121566,Graduate,Private,7.09,7,Semi-Urban,2,1
Ahmedabad,23,33546,Graduate,Government,4.55,7,Urban,0,1
Bangalore,56,87494,Secondary,Unemployed,5.41,3,Semi-Urban,2,0
Mumbai,27,51566,Secondary,Unemployed,9.21,2,Rural,4,0
Mumbai,24,90464,Graduate,Government,1.59,1,Semi-Urban,2,0
Delhi,43,133279,Graduate,Self-Employed,1.18,1,Urban,0,1
Jaipur,51,86991,Graduate,Unemployed,8.59,7,Rural,1,1
Bangalore,47,97680,Postgraduate,Private,7.86,5,Urban,0,1
Bangalore,53,33013,Primary,Private,3.01,1,Urban,1,0
Kolkata,38,57132,Secondary,Self-Employed,3.58,5,Rural,4,0
Jaipur,34,112855,Primary,Private,3.45,4,Semi-Urban,3,0
Pune,50,96627,Secondary,Unemployed,6.65,5,Urban,4,0
Pune,27,127772,Secondary,Self-Employed,1.08,5,Semi-Urban,4,0
Hyderabad,68,146294,Secondary,Unemployed,5.15,1,Semi-Urban,4,0
Chennai,64,69068,Graduate,Self-Employed,1.77,7,Rural,2,0
Mumbai,59,21116,Secondary,Government,8.29,3,Urban,4,1
Pune,68,56369,Primary,Private,4.12,7,Rural,3,0
Jaipur,29,108100,Secondary,Self-Employed,5.51,4,Rural,0,1
Bangalore,33,34655,Primary,Government,0.78,2,Urban,1,0
Pune,58,52632,Secondary,Unemployed,1.05,5,Urban,4,0
Bangalore,49,23895,Secondary,Government,6.91,5,Rural,1,0
Pune,32,28086,Graduate,Unemployed,7.78,6,Rural,4,0
Mumbai,44,90637,Primary,Self-Employed,7.25,5,Rural,2,0
Ahmedabad,45,112334,Secondary,Self-Employed,7.5,7,Urban,1,1
Pune,34,68083,Secondary,Private,1.49,3,Urban,4,0
Jaipur,63,100028,Primary,Private,7.09,2,Rural,4,0
Pune,67,71957,Secondary,Self-Employed,2.23,7,Urban,3,0
Chennai,19,102551,Postgraduate,Unemployed,1.43,6,Urban,3,0
Mumbai,53,83506,Graduate,Unemployed,7.69,7,Urban,3,1
Jaipur,67,143355,Primary,Self-Employed,8.95,1,Semi-Urban,2,1
Kolkata,24,99024,Graduate,Unemployed,7.31,4,Semi-Urban,1,1
Jaipur,30,86481,Postgraduate,Self-Employed,8.15,3,Rural,2,1
Chennai,32,5255,Postgraduate,Private,9.92,2,Semi-Urban,0,1
Ahmedabad,42,20487,Postgraduate,Unemployed,1.78,4,Rural,4,0
Mumbai,40,24346,Primary,Private,9.67,1,Rural,4,0
Kolkata,39,40050,Postgraduate,Government,6.21,4,Urban,4,1
Chennai,43,13744,Primary,Private,8.23,6,Rural,3,0
Chennai,50,66596,Primary,Government,6.68,5,Rural,4,0
Delhi,28,124640,Secondary,Private,5.92,5,Rural,3,0
Mumbai,27,60032,Primary,Private,7.18,3,Rural,0,0
Jaipur,42,47687,Postgraduate,Unemployed,3.54,4,Urban,2,0
Bangalore,54,67863,Primary,Private,9.28,7,Urban,2,1
Ahmedabad,65,136663,Primary,Self-Employed,1.6,5,Rural,2,0
Bangalore,60,11277,Graduate,Unemployed,3.52,3,Semi-Urban,3,0
Jaipur,55,66860,Postgraduate,Unemployed,0.8,3,Semi-Urban,1,0
Jaipur,58,138332,Primary,Unemployed,3.08,6,Rural,1,0
Mumbai,62,29741,Secondary,Private,2.57,3,Urban,0,0
Jaipur,41,124720,Primary,Unemployed,0.97,1,Rural,1,0
Delhi,57,42211,Primary,Government,5.17,7,Rural,0,0
Kolkata,63,11869,Graduate,Government,4.95,5,Urban,4,0
Jaipur,50,92616,Postgraduate,Private,1.24,5,Semi-Urban,2,0
Bangalore,34,99515,Postgraduate,Unemployed,2.99,2,Rural,3,0
Jaipur,41,65110,Secondary,Self-Employed,9.56,1,Urban,0,1
Delhi,54,39033,Secondary,Self-Employed,1.55,5,Urban,3,0
Pune,19,50213,Secondary,Government,3.4,6,Rural,3,0
Pune,49,17938,Primary,Private,0.84,5,Urban,2,0
Chennai,41,135842,Primary,Private,1.91,2,Rural,4,0
Ahmedabad,26,7274,Secondary,Private,7.14,4,Semi-Urban,4,0
Hyderabad,21,89390,Postgraduate,Private,3.98,4,Rural,1,1
Kolkata,34,25044,Postgraduate,Private,4.79,1,Semi-Urban,4,0
Lucknow,34,104372,Secondary,Unemployed,1.99,3,Urban,2,0
Chennai,67,19706,Graduate,Unemployed,6.98,2,Rural,3,0
Ahmedabad,65,142046,Postgraduate,Unemployed,7.64,2,Urban,0,1
Pune,47,81464,Postgraduate,Self-Employed,2.22,5,Rural,0,1
Bangalore,57,26213,Secondary,Unemployed,0.93,6,Urban,4,0
Lucknow,28,6950,Postgraduate,Private,1.27,5,Semi-Urban,1,0
Ahmedabad,38,15411,Primary,Private,6.74,6,Rural,0,0
Ahmedabad,38,133603,Primary,Self-Employed,1.79,2,Urban,1,0
Chennai,35,67744,Postgraduate,Self-Employed,5.19,3,Rural,0,1
Lucknow,46,40053,Primary,Government,1.95,4,Rural,1,0
Mumbai,41,143117,Graduate,Self-Employed,2.12,1,Semi-Urban,1,1
Hyderabad,27,62623,Postgraduate,Government,0.54,7,Urban,3,0
Mumbai,62,34714,Secondary,Unemployed,3.55,6,Rural,2,0
Lucknow,34,114283,Primary,Private,1.35,4,Rural,0,0
Mumbai,35,13562,Graduate,Government,4.24,1,Rural,4,0
Delhi,59,60048,Graduate,Government,6.18,3,Rural,2,1
Pune,65,98295,Primary,Government,3.99,2,Rural,3,0
Delhi,37,17026,Graduate,Self-Employed,7.2,3,Urban,3,1
Jaipur,54,111147,Postgraduate,Self-Employed,7.54,6,Rural,3,1
Mumbai,62,36589,Graduate,Self-Employed,7.12,2,Rural,4,0
Jaipur,35,113199,Primary,Government,9.4,5,Rural,0,1
Bangalore,34,102274,Graduate,Unemployed,2.75,1,Urban,0,0
Kolkata,26,31844,Primary,Private,2.3,5,Rural,1,0
Bangalore,31,95415,Primary,Self-Employed,6.29,2,Rural,1,0
Lucknow,66,59708,Graduate,Unemployed,6.15,7,Semi-Urban,1,0
Ahmedabad,46,75825,Primary,Self-Employed,5.35,1,Semi-Urban,4,0
Pune,48,56574,Primary,Self-Employed,0.54,1,Rural,2,0
Mumbai,21,90548,Secondary,Government,5.77,5,Rural,0,1
Chennai,35,69230,Postgraduate,Government,9.36,1,Semi-Urban,1,1
Kolkata,37,45581,Primary,Self-Employed,3.68,2,Urban,4,0
Hyderabad,64,30105,Postgraduate,Private,9.69,7,Urban,4,1
Hyderabad,60,84830,Secondary,Self-Employed,3.89,6,Semi-Urban,1,0
Hyderabad,61,74157,Secondary,Private,1.83,6,Rural,3,0
Mumbai,26,92235,Secondary,Unemployed,4.28,2,Semi-Urban,3,0
Hyderabad,30,7347,Secondary,Self-Employed,5.2,5,Urban,3,0
Delhi,32,52650,Postgraduate,Private,6.48,3,Semi-Urban,1,1
Kolkata,44,140995,Graduate,Unemployed,5.3,2,Urban,4,1
Delhi,32,129926,Graduate,Unemployed,5.6,6,Rural,4,0
Ahmedabad,45,86147,Postgraduate,Government,0.73,2,Rural,0,1
Kolkata,54,53135,Primary,Unemployed,2.91,1,Rural,3,0
Delhi,36,24199,Postgraduate,Government,3.45,1,Urban,1,1
Kolkata,43,145138,Primary,Unemployed,9.88,2,Semi-Urban,0,1
Ahmedabad,69,106583,Primary,Unemployed,3.31,5,Rural,4,0
Jaipur,43,97290,Graduate,Private,9.02,3,Urban,0,1
